position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
SG/SF,Terrence Shannon Jr. (37171092),Terrence Shannon Jr.,37171092,SG/SF/F/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,3.0,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,terrenceshannon,1630545,2024-12-29,Night
SG,Jaylen Clark (37171108),Jaylen Clark,37171108,SG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,0.0,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,jaylenclark,1641740,2024-12-29,Night
PG,Daishen Nix (37171131),Daishen Nix,37171131,PG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,2.83,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,daishennix,1630227,2024-12-29,Night
SF,Josh Minott (37171136),Josh Minott,37171136,SF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,7.0,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,joshminott,1631169,2024-12-29,Night
PG/SG,Blake Wesley (37171139),Blake Wesley,37171139,PG/SG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,8.49,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,blakewesley,1631104,2024-12-29,Night
PG/SG,Malaki Branham (37171143),Malaki Branham,37171143,PG/SG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,10.1,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,malakibranham,1631103,2024-12-29,Night
PF,Harrison Ingram (37171147),Harrison Ingram,37171147,PF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,1.25,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,harrisoningram,1631127,2024-12-29,Night
PF/C,Leonard Miller (37171174),Leonard Miller,37171174,PF/C/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,4.0,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,leonardmiller,1631159,2024-12-29,Night
PG,Rob Dillingham (37171201),Rob Dillingham,37171201,PG/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,MIN,7.12,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,robdillingham,1642265,2024-12-29,Night
SG/SF,Sidy Cissoko (37171207),Sidy Cissoko,37171207,SG/SF/F/G/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,2.62,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,sidycissoko,1631321,2024-12-29,Night
PF,Riley Minix (37171223),Riley Minix,37171223,PF/F/UTIL,3000,SAS@MIN 12/29/2024 08:00PM ET,SAS,2.5,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,rileyminix,1642434,2024-12-29,Night
