position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
SG/SF,Johnny Furphy (37170828),Johnny Furphy,37170828,SG/SF/F/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,7.2,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,johnnyfurphy,1642277,2024-12-29,Main
C,Isaiah Jackson (37170833),Isaiah Jackson,37170833,C/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,19.4,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,isaiahjackson,1630543,2024-12-29,Main
C,James Wiseman (37170835),James Wiseman,37170835,C/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,7.25,2024-12-29 18:00:00-05:00,BOS,1610612754,1610612738,jameswiseman,1630164,2024-12-29,Main
SG,Garrett Temple (37170662),Garrett Temple,37170662,SG/G/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,TOR,3.05,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,garretttemple,202066,2024-12-29,Main
C,Ulrich Chomche (37170665),Ulrich Chomche,37170665,C/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,TOR,2.5,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,ulrichchomche,1642279,2024-12-29,Main
PG,AJ Lawson (37170667),AJ Lawson,37170667,PG/G/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,TOR,6.25,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,ajlawson,1630639,2024-12-29,Main
PG,Keaton Wallace (37170760),Keaton Wallace,37170760,PG/G/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,ATL,11.02,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,keatonwallace,1630811,2024-12-29,Main
C,Mouhamed Gueye (37170763),Mouhamed Gueye,37170763,C/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,ATL,2.0,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,mouhamedgueye,1631243,2024-12-29,Main
PF,David Roddy (37170765),David Roddy,37170765,PF/F/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,ATL,11.09,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,davidroddy,1631223,2024-12-29,Main
SG/SF,Daeqwon Plowden (37170768),Daeqwon Plowden,37170768,SG/SF/F/G/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,ATL,0.0,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,daeqwonplowden,1631342,2024-12-29,Main
C,Dominick Barlow (37170773),Dominick Barlow,37170773,C/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,ATL,2.58,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,dominickbarlow,1631230,2024-12-29,Main
PG,Kobe Bufkin (37170775),Kobe Bufkin,37170775,PG/G/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,ATL,11.28,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,kobebufkin,1641723,2024-12-29,Main
C,Cody Zeller (37170778),Cody Zeller,37170778,C/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,ATL,0.0,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,codyzeller,203469,2024-12-29,Main
PG,Dru Smith (37170656),Dru Smith,37170656,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,15.79,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,drusmith,1630696,2024-12-29,Main
PG,Aaron Holiday (37170685),Aaron Holiday,37170685,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,7.82,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,aaronholiday,1628988,2024-12-29,Main
PG/SF,Nate Williams (37170688),Nate Williams,37170688,PG/SF/F/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,4.42,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,natewilliams,1631466,2024-12-29,Main
SG,Jack McVeigh (37170693),Jack McVeigh,37170693,SG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,2.83,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,jackmcveigh,1629098,2024-12-29,Main
PF/C,Jeff Green (37170696),Jeff Green,37170696,PF/C/F/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,4.25,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,jeffgreen,201145,2024-12-29,Main
C,Jock Landale (37170700),Jock Landale,37170700,C/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,8.47,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,jocklandale,1629111,2024-12-29,Main
C,N'Faly Dante (37170702),N'Faly Dante,37170702,C/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,0.0,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,nfalydante,1642368,2024-12-29,Main
C,Steven Adams (37170704),Steven Adams,37170704,C/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,9.03,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,stevenadams,203500,2024-12-29,Main
PG,Isaiah Stevens (37170795),Isaiah Stevens,37170795,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,0.0,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,isaiahstevens,1641815,2024-12-29,Main
